"date_received","sender_name","sender_domain","subject","aol_inbox_percent","aol_spam_percent","aol_read_rate","aol_read_delete_rate","aol_delete_rate","google_inbox_percent","google_spam_percent","google_read_rate","google_read_delete_rate","google_delete_rate","yahoo_inbox_percent","yahoo_spam_percent","yahoo_read_rate","yahoo_read_delete_rate","yahoo_delete_rate","outlook_inbox_percent","outlook_spam_percent","outlook_read_rate","outlook_read_delete_rate","outlook_delete_rate","actual_aol_volume","actual_google_volume","actual_yahoo_volume","actual_outlook_volume","actual_overall_volume","90_day_average_panel_size","overall_volume","overall_inbox_placement","read_rate","read_delete_rate","delete_rate","image_link","email_link","source","link_count","broken_link_count","redirect_count","bad_redirect_count","esp_names","company_name","company_address1","company_address2","company_city","company_state","company_zip","company_phone","company_fax","mta_ips"
"03/02/2016","access@interactive.wsj.com","interactive.wsj.com","Biggest Decliners: [REDACTED] Snapshot","100.00","0.00","","","","67.65","32.35","4.35","0.00","30.43","0.00","100.00","","","","","","","","","6","34","5","0","45","859166","128328","63.64","3.57","0.00","7.14","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/05e3bfca-13d9-4722-812f-04b6f41b19dc.jpg",,"panel","0","0","0","0","","News Corporation","1211 Avenue of the Americas","4th Floor","New York","NY","10036","(212) 416-3400","","205.203.100.37|205.203.100.47|205.203.100.36|205.203.100.46"
"03/02/2016","access@interactive.wsj.com","interactive.wsj.com","Most Actives: [REDACTED] Snapshot","100.00","0.00","","","","76.60","23.40","2.78","0.00","22.22","0.00","100.00","","","","","","","","","5","47","5","0","57","859166","162549","71.43","2.50","0.00","7.50","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/ba3af4db-bf87-4570-8797-8a663bb117fa.jpg",,"panel","0","0","0","0","","News Corporation","1211 Avenue of the Americas","4th Floor","New York","NY","10036","(212) 416-3400","","205.203.100.37|205.203.100.47|205.203.100.36|205.203.100.46"
"03/02/2016","alert@corporatesolutions.corporate-ir.com","corporatesolutions.corporate-ir.com","ALERT: New [REDACTED] SEC Filing","100.00","0.00","0.00","0.00","3.45","85.13","14.87","6.99","4.80","19.65","97.50","2.50","5.13","2.56","2.56","33.33","66.67","0.00","0.00","50.00","29","269","40","3","341","859166","972446","87.39","2.35","0.67","7.38","https://s3.amazonaws.com/eds-image.s3.aws.edatasource.com/1e25805d-fb2f-4dd8-a502-415907d4fce5.jpg","http://app.emailanalyst.com/rest/secure/email/body/1e25805d-fb2f-4dd8-a502-415907d4fce5","seed+panel","1","0","0","0","","Thomson Reuters","3 Times Square","","New York","NY","10036","(646) 223-4000","","208.92.176.200|208.92.178.200"
"03/02/2016","help.us@yougov.com","yougov.com","Share your opinions in a YouGov Survey","100.00","0.00","14.29","0.00","0.00","99.38","0.62","9.38","3.75","15.62","95.00","5.00","10.53","5.26","0.00","100.00","0.00","","","","7","161","20","3","191","859166","544683","98.95","8.47","3.17","6.35","https://s3.amazonaws.com/eds-image.s3.aws.edatasource.com/18f6f952-93d9-42fe-aa24-9dca6ebed558.jpg","http://app.emailanalyst.com/rest/secure/email/body/18f6f952-93d9-42fe-aa24-9dca6ebed558","seed+panel","4","0","4","0","","YouGov plc.","285 Hamilton Ave","","Palo Alto","CA","94301","","","38.102.152.61"
"03/02/2016","access@interactive.wsj.com","interactive.wsj.com","The 10-Point: My Guide to the Day's Top News","100.00","0.00","18.75","18.75","25.00","100.00","0.00","17.14","7.14","30.00","100.00","0.00","33.33","33.33","66.67","100.00","0.00","","","","16","70","3","3","92","859166","262360","100.00","8.70","4.35","16.30","https://s3.amazonaws.com/eds-image.s3.aws.edatasource.com/0373f458-7cb9-40c9-b4e1-687cf7bc9931.jpg","http://app.emailanalyst.com/rest/secure/email/body/0373f458-7cb9-40c9-b4e1-687cf7bc9931","seed+panel","38","1","11","0","","News Corporation","1211 Avenue of the Americas","4th Floor","New York","NY","10036","(212) 416-3400","","205.203.100.37|205.203.100.36|205.203.100.47|205.203.100.35|205.203.100.46|205.203.100.34"
"03/02/2016","info@trueactivist.com","trueactivist.com","Latest articles from True Activist","100.00","0.00","0.00","0.00","37.50","96.49","3.51","9.09","1.82","54.18","97.50","2.50","2.56","0.00","15.38","100.00","0.00","","","","8","285","40","2","335","859166","955335","96.72","4.32","1.23","13.89","https://s3.amazonaws.com/eds-image.s3.aws.edatasource.com/a48aa2c3-582a-437b-a96b-7ce43bd0ea6e.jpg","http://app.emailanalyst.com/rest/secure/email/body/a48aa2c3-582a-437b-a96b-7ce43bd0ea6e","seed+panel","24","13","13","0","MailChimp","True Activist","Lot 859 Adriactic St","","Kellyville Ridge","NSW","2155","","","198.2.183.132|198.2.183.133|198.2.138.70|198.2.183.163|198.2.183.207|198.2.182.7|198.2.190.242|198.2.183.56|198.2.182.23|198.2.182.140|198.2.181.84|198.2.182.20|198.2.182.53|198.2.138.24|198.2.182.203"
"03/02/2016","ezines@arcamax.com","arcamax.com","Delicious Crock Pot recipes to make any meal a hit.","100.00","0.00","25.00","25.00","50.00","77.14","22.86","3.70","0.00","74.07","","","","","","","","","","","4","35","0","0","39","859166","111218","79.49","6.45","3.23","67.74","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/6c477311-d555-4d0f-ae1f-1a2e23d6c4be.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.153|216.174.43.142|216.174.43.152|216.174.43.141|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.144|216.174.43.155|216.174.43.143|216.174.43.154|216.174.43.157|216.174.43.146|216.174.43.145|216.174.43.156"
"03/02/2016","ezines@arcamax.com","arcamax.com","[REDACTED] Why you [REDACTED] a spy camera","","","","","","78.57","21.43","0.00","0.00","36.36","","","","","","","","","","","0","14","0","0","14","859166","39924","78.57","0.00","0.00","36.36","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/11665d31-edca-49f1-8206-46d04b2b10b4.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.150|216.174.43.153|216.174.43.142|216.174.43.152|216.174.43.149|216.174.43.155|216.174.43.143|216.174.43.146|216.174.43.157|216.174.43.145"
"03/02/2016","ezines@arcamax.com","arcamax.com","Browse satisfying slow cooker recipes that are perfect for your busy schedule.","100.00","0.00","33.33","33.33","0.00","71.43","28.57","0.00","0.00","56.67","100.00","0.00","100.00","100.00","0.00","","","","","","3","42","1","0","46","859166","131180","73.91","5.88","5.88","44.12","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/da7bb895-da3d-4d97-b8a7-57a3a5d3efe6.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.153|216.174.43.152|216.174.43.141|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.155|216.174.43.144|216.174.43.143|216.174.43.154|216.174.43.146|216.174.43.157|216.174.43.156|216.174.43.145"
"03/02/2016","ezines@arcamax.com","arcamax.com","Custom business checks to show off your brand","100.00","0.00","","","","73.08","26.92","10.53","5.26","52.63","","","","","","","","","","","1","26","0","0","27","859166","76997","74.07","10.00","5.00","50.00","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/e7526e62-63c3-4bea-9bc7-5f11697cae05.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.153|216.174.43.142|216.174.43.152|216.174.43.147|216.174.43.149|216.174.43.144|216.174.43.155|216.174.43.154|216.174.43.143|216.174.43.157|216.174.43.146|216.174.43.145|216.174.43.156"
"03/02/2016","ezines@arcamax.com","arcamax.com","Are you in need of [REDACTED]","100.00","0.00","","","","62.50","37.50","5.00","0.00","65.00","","","","","","","","","","","1","32","0","0","33","859166","94107","63.64","4.76","0.00","61.90","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/1979ea6a-3e5e-48c4-acd9-593d20a257b6.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.150|216.174.43.142|216.174.43.141|216.174.43.152|216.174.43.148|216.174.43.147|216.174.43.155|216.174.43.144|216.174.43.154|216.174.43.143|216.174.43.146|216.174.43.157|216.174.43.156"
"03/02/2016","ezines@arcamax.com","arcamax.com","Easily access your files with Cloud Storage. Check inside!","100.00","0.00","43.75","43.75","6.25","70.72","29.28","6.82","1.95","58.60","56.00","44.00","0.00","0.00","21.43","","","","","","16","871","25","0","912","859166","2600794","70.83","5.26","2.17","38.70","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/03c74a8f-aa4c-4051-98bc-664f348337aa.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.153|216.174.43.142|216.174.43.152|216.174.43.141|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.155|216.174.43.144|216.174.43.143|216.174.43.154|216.174.43.157|216.174.43.146|216.174.43.156|216.174.43.145"
"03/02/2016","ezines@arcamax.com","arcamax.com","Great [REDACTED] ideas and [REDACTED]","","","","","","70.97","29.03","9.09","0.00","68.18","50.00","50.00","","","","","","","","","0","31","2","0","33","859166","94107","69.70","8.70","0.00","60.87","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/9eb1e6c4-4276-4fa1-9142-821edb2a0af9.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.142|216.174.43.153|216.174.43.141|216.174.43.152|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.144|216.174.43.155|216.174.43.154|216.174.43.143|216.174.43.157|216.174.43.146|216.174.43.145|216.174.43.156"
"03/02/2016","ezines@arcamax.com","arcamax.com","Make the most of [REDACTED]","100.00","0.00","0.00","0.00","33.33","78.21","21.79","6.56","4.92","68.85","","","","","","","","","","","3","78","0","0","81","859166","230991","79.01","4.69","3.12","60.94","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/36ff2c6c-816f-41fb-8177-a24d41a76b53.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.153|216.174.43.142|216.174.43.152|216.174.43.141|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.155|216.174.43.144|216.174.43.154|216.174.43.143|216.174.43.146|216.174.43.157|216.174.43.145|216.174.43.156"
"03/02/2016","ezines@arcamax.com","arcamax.com","[REDACTED] Free* cell phone options [REDACTED]","","","","","","74.51","25.49","7.89","0.00","60.53","","","","","","","","","","","0","51","0","0","51","859166","145439","74.51","7.89","0.00","57.89","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/3f003baf-b69d-48b3-a57e-2461fe30f6ee.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.153|216.174.43.142|216.174.43.141|216.174.43.152|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.155|216.174.43.144|216.174.43.154|216.174.43.143|216.174.43.157|216.174.43.146|216.174.43.156|216.174.43.145"
"03/02/2016","ezines@arcamax.com","arcamax.com","[REDACTED] Why you should consider a free* cell phone","","","","","","80.00","20.00","7.14","0.00","64.29","","","","","","","","","","","0","35","0","0","35","859166","99811","80.00","7.14","0.00","57.14","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/f4cc674c-f0d6-4a9d-a0a3-a37d4c7c49c2.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.142|216.174.43.152|216.174.43.141|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.155|216.174.43.144|216.174.43.154|216.174.43.143|216.174.43.157|216.174.43.146|216.174.43.156|216.174.43.145"
"03/02/2016","ezines@arcamax.com","arcamax.com","Find lots of fabulous slow cooker recipes.","100.00","0.00","0.00","0.00","25.00","88.89","11.11","3.12","0.00","56.25","","","","","","","","","","","4","36","0","0","40","859166","114069","90.00","2.78","0.00","50.00","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/f3ce5060-d3ed-4bb3-867d-b967e838d911.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.153|216.174.43.142|216.174.43.152|216.174.43.141|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.155|216.174.43.144|216.174.43.143|216.174.43.154|216.174.43.157|216.174.43.146|216.174.43.145|216.174.43.156"
"03/02/2016","ezines@arcamax.com","arcamax.com","What's the best thing about [REDACTED]","","","","","","68.03","31.97","6.00","2.00","66.00","","","","","","","","","","","0","147","0","0","147","859166","419207","68.03","5.00","2.00","55.00","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/1f91e030-c93e-4a9e-87a2-5d004fb88d09.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.153|216.174.43.142|216.174.43.152|216.174.43.141|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.155|216.174.43.144|216.174.43.143|216.174.43.154|216.174.43.146|216.174.43.157|216.174.43.156|216.174.43.145"
"03/02/2016","ezines@arcamax.com","arcamax.com","Ultimate guide to [REDACTED]","","","","","","74.29","25.71","3.85","3.85","61.54","","","","","","","","","","","0","35","0","0","35","859166","99811","74.29","3.85","3.85","61.54","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/9afec920-d038-498e-8e90-dcc2158e47c8.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.153|216.174.43.142|216.174.43.141|216.174.43.152|216.174.43.148|216.174.43.149|216.174.43.144|216.174.43.155|216.174.43.154|216.174.43.143|216.174.43.146|216.174.43.157|216.174.43.145|216.174.43.156"
"03/02/2016","ezines@arcamax.com","arcamax.com","Tried Cold Turkey? Now Try This","","","","","","66.29","33.71","5.42","1.02","54.24","75.00","25.00","","","","0.00","100.00","","","","0","445","4","3","452","859166","1288990","65.93","3.02","0.67","24.50","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/66270a9b-152e-40ed-881f-4b2ec866ad79.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.153|216.174.43.142|216.174.43.152|216.174.43.141|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.144|216.174.43.155|216.174.43.154|216.174.43.143|216.174.43.146|216.174.43.157|216.174.43.156|216.174.43.145"
"03/02/2016","ezines@arcamax.com","arcamax.com","[REDACTED] you can count on","","","","","","66.67","33.33","0.00","0.00","71.43","100.00","0.00","","","","","","","","","0","21","1","0","22","859166","62738","68.18","0.00","0.00","66.67","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/552f2f08-0202-4f57-bc22-3999a2bb7371.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.142|216.174.43.153|216.174.43.141|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.144|216.174.43.154|216.174.43.143|216.174.43.157|216.174.43.146|216.174.43.156"
"03/02/2016","ezines@arcamax.com","arcamax.com","Where can you find [REDACTED] options?","","","","","","57.14","42.86","0.00","0.00","62.50","100.00","0.00","","","","","","","","","0","14","1","0","15","859166","42776","60.00","0.00","0.00","55.56","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/90693dae-0ac6-402e-bac9-287092da2395.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.153|216.174.43.152|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.154|216.174.43.146|216.174.43.157|216.174.43.145|216.174.43.156"
"03/02/2016","ezines@arcamax.com","arcamax.com","CNA Classes Starting Soon","100.00","0.00","26.51","26.51","25.30","80.45","19.55","4.63","2.48","63.26","64.41","35.59","7.89","5.26","28.95","66.67","33.33","33.33","0.00","0.00","83","1908","59","3","2053","859166","5854639","80.80","3.02","1.81","19.96","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/0a5ae950-909e-45fb-b589-f4c78d0dc5d3.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.142|216.174.43.153|216.174.43.141|216.174.43.152|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.155|216.174.43.144|216.174.43.143|216.174.43.154|216.174.43.146|216.174.43.157|216.174.43.156|216.174.43.145"
"03/02/2016","ezines@arcamax.com","arcamax.com","[REDACTED] designed for you","100.00","0.00","0.00","0.00","100.00","76.42","23.58","8.64","4.94","55.56","","","","","","","","","","","2","106","0","0","108","859166","307988","76.85","8.43","4.82","53.01","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/e5ccc082-b4f9-40cd-8d33-b86b91eecab2.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.153|216.174.43.142|216.174.43.141|216.174.43.152|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.155|216.174.43.144|216.174.43.154|216.174.43.143|216.174.43.157|216.174.43.146|216.174.43.145|216.174.43.156"
"03/02/2016","ezines@arcamax.com","arcamax.com","[REDACTED] selected just for you","100.00","0.00","33.33","33.33","0.00","75.78","24.22","5.74","4.92","65.57","100.00","0.00","","","","0.00","100.00","","","","3","161","2","1","167","859166","476241","76.51","6.30","5.51","50.39","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/1e8d326d-66d5-4ee2-a0aa-74b4e7b10b7b.jpg",,"panel","0","0","0","0","","ArcaMax Publishing, Inc.","729 Thimble Shoals Blvd","Suite 1-B","Newport News","VA","23606","(757) 596-9730","(757) 596-9731","216.174.43.151|216.174.43.150|216.174.43.142|216.174.43.153|216.174.43.152|216.174.43.141|216.174.43.148|216.174.43.147|216.174.43.149|216.174.43.155|216.174.43.144|216.174.43.143|216.174.43.154|216.174.43.146|216.174.43.157|216.174.43.156|216.174.43.145"
